Phi[deg],Theta[deg],Gain[dB]
0,0,-2.7536e+00
0,1,-2.7515e+00
0,2,-2.7462e+00
0,3,-2.7379e+00
0,4,-2.7264e+00
0,5,-2.7117e+00
0,6,-2.6939e+00
0,7,-2.6729e+00
0,8,-2.6488e+00
0,9,-2.6216e+00
0,10,-2.5912e+00
0,11,-2.5578e+00
0,12,-2.5213e+00
0,13,-2.4818e+00
0,14,-2.4393e+00
0,15,-2.3938e+00
0,16,-2.3453e+00
0,17,-2.2940e+00
0,18,-2.2397e+00
0,19,-2.1827e+00
0,20,-2.1229e+00
0,21,-2.0604e+00
0,22,-1.9952e+00
0,23,-1.9273e+00
0,24,-1.8569e+00
0,25,-1.7840e+00
0,26,-1.7086e+00
0,27,-1.6307e+00
0,28,-1.5506e+00
0,29,-1.4681e+00
0,30,-1.3834e+00
0,31,-1.2965e+00
0,32,-1.2075e+00
0,33,-1.1164e+00
0,34,-1.0233e+00
0,35,-9.2826e-01
0,36,-8.3135e-01
0,37,-7.3261e-01
0,38,-6.3212e-01
0,39,-5.2994e-01
0,40,-4.2615e-01
0,41,-3.2085e-01
0,42,-2.1422e-01
0,43,-1.0695e-01
0,44,-2.3354e-02
0,45,-1.1884e-01
0,46,-2.3031e-01
0,47,-3.4369e-01
0,48,-4.5842e-01
0,49,-5.7431e-01
0,50,-6.9127e-01
0,51,-8.0922e-01
0,52,-9.2807e-01
0,53,-1.0478e+00
0,54,-1.1682e+00
0,55,-1.2894e+00
0,56,-1.4111e+00
0,57,-1.5335e+00
0,58,-1.6563e+00
0,59,-1.7794e+00
0,60,-1.9030e+00
0,61,-2.0267e+00
0,62,-2.1507e+00
0,63,-2.2747e+00
0,64,-2.3987e+00
0,65,-2.5227e+00
0,66,-2.6466e+00
0,67,-2.7702e+00
0,68,-2.8935e+00
0,69,-3.0164e+00
0,70,-3.1389e+00
0,71,-3.2609e+00
0,72,-3.3823e+00
0,73,-3.5030e+00
0,74,-3.6230e+00
0,75,-3.7421e+00
0,76,-3.8605e+00
0,77,-3.9779e+00
0,78,-4.0943e+00
0,79,-4.2097e+00
0,80,-4.3241e+00
0,81,-4.4373e+00
0,82,-4.5495e+00
0,83,-4.6604e+00
0,84,-4.7702e+00
0,85,-5.3852e+00
0,86,-5.2815e+00
0,87,-5.1765e+00
0,88,-5.0702e+00
0,89,-4.9627e+00
0,90,-4.8539e+00
0,91,-4.7439e+00
0,92,-4.6328e+00
0,93,-4.5206e+00
0,94,-4.4073e+00
0,95,-4.2931e+00
0,96,-4.1780e+00
0,97,-4.0621e+00
0,98,-3.9453e+00
0,99,-3.8279e+00
0,100,-3.7099e+00
0,101,-3.5913e+00
0,102,-3.4722e+00
0,103,-3.3528e+00
0,104,-3.2330e+00
0,105,-3.1130e+00
0,106,-2.9929e+00
0,107,-2.8727e+00
0,108,-2.7525e+00
0,109,-2.6324e+00
0,110,-2.5125e+00
0,111,-2.3928e+00
0,112,-2.2734e+00
0,113,-2.1544e+00
0,114,-2.0358e+00
0,115,-1.9178e+00
0,116,-1.8004e+00
0,117,-1.6836e+00
0,118,-1.5676e+00
0,119,-1.4523e+00
0,120,-1.3379e+00
0,121,-1.2243e+00
0,122,-1.1117e+00
0,123,-1.0001e+00
0,124,-8.8942e-01
0,125,-7.7986e-01
0,126,-6.7140e-01
0,127,-5.6409e-01
0,128,-4.5798e-01
0,129,-3.5312e-01
0,130,-2.4962e-01
0,131,-1.4777e-01
0,132,-5.0159e-02
0,133,-5.9778e-02
0,134,-1.5566e-01
0,135,-2.5238e-01
0,136,-3.4811e-01
0,137,-4.4260e-01
0,138,-5.3576e-01
0,139,-6.2754e-01
0,140,-7.1792e-01
0,141,-8.0687e-01
0,142,-8.9435e-01
0,143,-9.8036e-01
0,144,-1.0649e+00
0,145,-1.1478e+00
0,146,-1.2292e+00
0,147,-1.3091e+00
0,148,-1.3873e+00
0,149,-1.4638e+00
0,150,-1.5387e+00
0,151,-1.6118e+00
0,152,-1.6831e+00
0,153,-1.7527e+00
0,154,-1.8203e+00
0,155,-1.8861e+00
0,156,-1.9499e+00
0,157,-2.0117e+00
0,158,-2.0715e+00
0,159,-2.1291e+00
0,160,-2.1846e+00
0,161,-2.2378e+00
0,162,-2.2887e+00
0,163,-2.3374e+00
0,164,-2.3836e+00
0,165,-2.4273e+00
0,166,-2.4685e+00
0,167,-2.5072e+00
0,168,-2.5432e+00
0,169,-2.5766e+00
0,170,-2.6072e+00
0,171,-2.6350e+00
0,172,-2.6601e+00
0,173,-2.6822e+00
0,174,-2.7014e+00
0,175,-2.7177e+00
0,176,-2.7310e+00
0,177,-2.7412e+00
0,178,-2.7484e+00
0,179,-2.7525e+00
1,0,-2.7558e+00
1,1,-2.7537e+00
1,2,-2.7485e+00
1,3,-2.7401e+00
1,4,-2.7286e+00
1,5,-2.7140e+00
1,6,-2.6962e+00
1,7,-2.6752e+00
1,8,-2.6512e+00
1,9,-2.6240e+00
1,10,-2.5937e+00
1,11,-2.5603e+00
1,12,-2.5238e+00
1,13,-2.4844e+00
1,14,-2.4419e+00
1,15,-2.3965e+00
