Phi[deg],Theta[deg],Gain[dB]
0,0,8.1473e+00
0,1,8.1430e+00
0,2,8.1323e+00
0,3,8.1152e+00
0,4,8.0917e+00
0,5,8.0619e+00
0,6,8.0257e+00
0,7,7.9832e+00
0,8,7.9346e+00
0,9,7.8798e+00
0,10,7.8189e+00
0,11,7.7522e+00
0,12,7.6796e+00
0,13,7.6015e+00
0,14,7.5178e+00
0,15,7.4287e+00
0,16,7.3345e+00
0,17,7.2353e+00
0,18,7.1313e+00
0,19,7.0227e+00
0,20,6.9098e+00
0,21,6.7926e+00
0,22,6.6714e+00
0,23,6.5465e+00
0,24,6.4181e+00
0,25,6.2864e+00
0,26,6.1515e+00
0,27,6.0138e+00
0,28,5.8735e+00
0,29,5.7308e+00
0,30,5.5859e+00
0,31,5.4390e+00
0,32,5.2904e+00
0,33,5.1402e+00
0,34,4.9886e+00
0,35,4.8359e+00
0,36,4.6822e+00
0,37,4.5277e+00
0,38,4.3725e+00
0,39,4.2168e+00
0,40,4.0607e+00
0,41,3.9043e+00
0,42,3.7478e+00
0,43,3.5912e+00
0,44,3.4346e+00
0,45,3.2780e+00
0,46,3.1215e+00
0,47,2.9652e+00
0,48,2.8091e+00
0,49,2.6533e+00
0,50,2.4977e+00
0,51,2.3425e+00
0,52,2.1877e+00
0,53,2.0334e+00
0,54,1.8795e+00
0,55,1.7261e+00
0,56,1.5734e+00
0,57,1.4212e+00
0,58,1.2697e+00
0,59,1.1188e+00
0,60,9.6857e-01
0,61,8.1908e-01
0,62,6.7034e-01
0,63,5.2236e-01
0,64,3.7517e-01
0,65,2.2879e-01
0,66,8.3292e-02
0,67,-6.1315e-02
0,68,-2.0500e-01
0,69,-3.4769e-01
0,70,-4.8937e-01
0,71,-6.2999e-01
0,72,-7.6949e-01
0,73,-9.0783e-01
0,74,-1.0450e+00
0,75,-1.1809e+00
0,76,-1.3155e+00
0,77,-1.4488e+00
0,78,-1.5807e+00
0,79,-1.7112e+00
0,80,-1.8403e+00
0,81,-1.9680e+00
0,82,-2.0941e+00
0,83,-2.2188e+00
0,84,-2.3421e+00
0,85,-3.0293e+00
0,86,-2.9137e+00
0,87,-2.7966e+00
0,88,-2.6779e+00
0,89,-2.5576e+00
0,90,-2.4358e+00
0,91,-2.3125e+00
0,92,-2.1878e+00
0,93,-2.0617e+00
0,94,-1.9342e+00
0,95,-1.8054e+00
0,96,-1.6754e+00
0,97,-1.5442e+00
0,98,-1.4119e+00
0,99,-1.2785e+00
0,100,-1.1441e+00
0,101,-1.0088e+00
0,102,-8.7260e-01
0,103,-7.3560e-01
0,104,-5.9786e-01
0,105,-4.5944e-01
0,106,-3.2041e-01
0,107,-1.8080e-01
0,108,-4.0682e-02
0,109,9.9896e-02
0,110,2.4088e-01
0,111,3.8224e-01
0,112,5.2393e-01
0,113,6.6590e-01
0,114,8.0812e-01
0,115,9.5056e-01
0,116,1.0932e+00
0,117,1.2360e+00
0,118,1.3789e+00
0,119,1.5220e+00
0,120,1.6651e+00
0,121,1.8083e+00
0,122,1.9515e+00
0,123,2.0947e+00
0,124,2.2379e+00
0,125,2.3810e+00
0,126,2.5240e+00
0,127,2.6670e+00
0,128,2.8097e+00
0,129,2.9523e+00
0,130,3.0948e+00
0,131,3.2370e+00
0,132,3.3790e+00
0,133,3.5208e+00
0,134,3.6624e+00
0,135,3.8037e+00
0,136,3.9446e+00
0,137,4.0853e+00
0,138,4.2256e+00
0,139,4.3655e+00
0,140,4.5049e+00
0,141,4.6437e+00
0,142,4.7819e+00
0,143,4.9194e+00
0,144,5.0561e+00
0,145,5.1918e+00
0,146,5.3266e+00
0,147,5.4602e+00
0,148,5.5925e+00
0,149,5.7234e+00
0,150,5.8528e+00
0,151,5.9805e+00
0,152,6.1063e+00
0,153,6.2302e+00
0,154,6.3519e+00
0,155,6.4712e+00
0,156,6.5880e+00
0,157,6.7021e+00
0,158,6.8133e+00
0,159,6.9214e+00
0,160,7.0263e+00
0,161,7.1276e+00
0,162,7.2253e+00
0,163,7.3191e+00
0,164,7.4088e+00
0,165,7.4943e+00
0,166,7.5753e+00
0,167,7.6516e+00
0,168,7.7231e+00
0,169,7.7896e+00
0,170,7.8509e+00
0,171,7.9069e+00
0,172,7.9573e+00
0,173,8.0020e+00
0,174,8.0410e+00
0,175,8.0741e+00
0,176,8.1011e+00
0,177,8.1220e+00
0,178,8.1367e+00
0,179,8.1452e+00
1,0,8.1427e+00
1,1,8.1384e+00
1,2,8.1277e+00
1,3,8.1107e+00
1,4,8.0872e+00
1,5,8.0573e+00
1,6,8.0212e+00
1,7,7.9787e+00
1,8,7.9300e+00
1,9,7.8752e+00
1,10,7.8144e+00
1,11,7.7477e+00
1,12,7.6752e+00
1,13,7.5970e+00
1,14,7.5133e+00
1,15,7.4243e+00
1,16,7.3301e+00
1,17,7.2309e+00
1,18,7.1270e+00
1,19,7.0184e+00
1,20,6.9055e+00
1,21,6.7883e+00
1,22,6.6672e+00
1,23,6.5423e+00
1,24,6.4139e+00
1,25,6.2822e+00
1,26,6.1474e+00
1,27,6.0097e+00
1,28,5.8695e+00
1,29,5.7268e+00
1,30,5.5819e+00
1,31,5.4350e+00
1,32,5.2864e+00
1,33,5.1363e+00
1,34,4.9848e+00
1,35,4.8321e+00
1,36,4.6784e+00
