Phi[deg],Theta[deg],Gain[dB]
0,0,5.4711e+00
0,1,5.4690e+00
0,2,5.4638e+00
0,3,5.4554e+00
0,4,5.4439e+00
0,5,5.4292e+00
0,6,5.4114e+00
0,7,5.3904e+00
0,8,5.3663e+00
0,9,5.3391e+00
0,10,5.3087e+00
0,11,5.2753e+00
0,12,5.2388e+00
0,13,5.1993e+00
0,14,5.1568e+00
0,15,5.1113e+00
0,16,5.0628e+00
0,17,5.0114e+00
0,18,4.9572e+00
0,19,4.9002e+00
0,20,4.8404e+00
0,21,4.7778e+00
0,22,4.7126e+00
0,23,4.6448e+00
0,24,4.5744e+00
0,25,4.5014e+00
0,26,4.4260e+00
0,27,4.3482e+00
0,28,4.2680e+00
0,29,4.1855e+00
0,30,4.1008e+00
0,31,4.0139e+00
0,32,3.9249e+00
0,33,3.8338e+00
0,34,3.7407e+00
0,35,3.6456e+00
0,36,3.5486e+00
0,37,3.4499e+00
0,38,3.3493e+00
0,39,3.2471e+00
0,40,3.1431e+00
0,41,3.0376e+00
0,42,2.9306e+00
0,43,2.8221e+00
0,44,2.7122e+00
0,45,2.6010e+00
0,46,2.4884e+00
0,47,2.3747e+00
0,48,2.2597e+00
0,49,2.1437e+00
0,50,2.0267e+00
0,51,1.9087e+00
0,52,1.7898e+00
0,53,1.6701e+00
0,54,1.5496e+00
0,55,1.4284e+00
0,56,1.3066e+00
0,57,1.1843e+00
0,58,1.0615e+00
0,59,9.3829e-01
0,60,8.1477e-01
0,61,6.9099e-01
0,62,5.6705e-01
0,63,4.4302e-01
0,64,3.1897e-01
0,65,1.9498e-01
0,66,7.1140e-02
0,67,-5.2480e-02
0,68,-1.7581e-01
0,69,-2.9876e-01
0,70,-4.2126e-01
0,71,-5.4324e-01
0,72,-6.6462e-01
0,73,-7.8533e-01
0,74,-9.0531e-01
0,75,-1.0245e+00
0,76,-1.1428e+00
0,77,-1.2602e+00
0,78,-1.3766e+00
0,79,-1.4921e+00
0,80,-1.6064e+00
0,81,-1.7197e+00
0,82,-1.8318e+00
0,83,-1.9428e+00
0,84,-2.0526e+00
0,85,-2.6676e+00
0,86,-2.5639e+00
0,87,-2.4589e+00
0,88,-2.3526e+00
0,89,-2.2450e+00
0,90,-2.1362e+00
0,91,-2.0263e+00
0,92,-1.9151e+00
0,93,-1.8029e+00
0,94,-1.6897e+00
0,95,-1.5755e+00
0,96,-1.4604e+00
0,97,-1.3444e+00
0,98,-1.2277e+00
0,99,-1.1103e+00
0,100,-9.9221e-01
0,101,-8.7362e-01
0,102,-7.5456e-01
0,103,-6.3510e-01
0,104,-5.1534e-01
0,105,-3.9535e-01
0,106,-2.7522e-01
0,107,-1.5501e-01
0,108,-3.4810e-02
0,109,8.5300e-02
0,110,2.0524e-01
0,111,3.2495e-01
0,112,4.4434e-01
0,113,5.6334e-01
0,114,6.8188e-01
0,115,7.9990e-01
0,116,9.1732e-01
0,117,1.0341e+00
0,118,1.1502e+00
0,119,1.2654e+00
0,120,1.3799e+00
0,121,1.4935e+00
0,122,1.6061e+00
0,123,1.7178e+00
0,124,1.8285e+00
0,125,1.9381e+00
0,126,2.0466e+00
0,127,2.1540e+00
0,128,2.2602e+00
0,129,2.3652e+00
0,130,2.4690e+00
0,131,2.5716e+00
0,132,2.6729e+00
0,133,2.7729e+00
0,134,2.8716e+00
0,135,2.9690e+00
0,136,3.0650e+00
0,137,3.1596e+00
0,138,3.2529e+00
0,139,3.3447e+00
0,140,3.4352e+00
0,141,3.5241e+00
0,142,3.6117e+00
0,143,3.6977e+00
0,144,3.7822e+00
0,145,3.8652e+00
0,146,3.9466e+00
0,147,4.0265e+00
0,148,4.1047e+00
0,149,4.1812e+00
0,150,4.2561e+00
0,151,4.3292e+00
0,152,4.4006e+00
0,153,4.4701e+00
0,154,4.5378e+00
0,155,4.6036e+00
0,156,4.6674e+00
0,157,4.7292e+00
0,158,4.7890e+00
0,159,4.8466e+00
0,160,4.9021e+00
0,161,4.9553e+00
0,162,5.0062e+00
0,163,5.0549e+00
0,164,5.1011e+00
0,165,5.1448e+00
0,166,5.1860e+00
0,167,5.2247e+00
0,168,5.2607e+00
0,169,5.2941e+00
0,170,5.3247e+00
0,171,5.3525e+00
0,172,5.3776e+00
0,173,5.3997e+00
0,174,5.4189e+00
0,175,5.4352e+00
0,176,5.4485e+00
0,177,5.4587e+00
0,178,5.4659e+00
0,179,5.4701e+00
1,0,5.4688e+00
1,1,5.4667e+00
1,2,5.4615e+00
1,3,5.4531e+00
1,4,5.4416e+00
1,5,5.4270e+00
1,6,5.4091e+00
1,7,5.3882e+00
1,8,5.3641e+00
1,9,5.3368e+00
1,10,5.3065e+00
1,11,5.2731e+00
1,12,5.2366e+00
1,13,5.1971e+00
1,14,5.1545e+00
1,15,5.1090e+00
1,16,5.0606e+00
1,17,5.0092e+00
1,18,4.9550e+00
1,19,4.8980e+00
1,20,4.8382e+00
1,21,4.7756e+00
1,22,4.7104e+00
1,23,4.6425e+00
1,24,4.5721e+00
1,25,4.4992e+00
1,26,4.4238e+00
1,27,4.3460e+00
1,28,4.2658e+00
1,29,4.1833e+00
1,30,4.0986e+00
1,31,4.0116e+00
1,32,3.9226e+00
1,33,3.8315e+00
1,34,3.7384e+00
1,35,3.6433e+00
1,36,3.5464e+00
1,37,3.4476e+00
1,38,3.3471e+00
1,39,3.2448e+00
1,40,3.1409e+00
1,41,3.0354e+00
1,42,2.9284e+00
1,43,2.8199e+00
1,44,2.7100e+00
1,45,2.5987e+00
1,46,2.4862e+00
1,47,2.3724e+00
1,48,2.2575e+00
1,49,2.1415e+00
1,50,2.0245e+00
1,51,1.9065e+00
1,52,1.7876e+00
1,53,1.6678e+00
1,54,1.5474e+00
1,55,1.4262e+00
1,56,1.3044e+00
1,57,1.1821e+00
1,58,1.0593e+00
1,59,9.3605e-01
1,60,8.1253e-01
1,61,6.8875e-01
1,62,5.6481e-01
1,63,4.4078e-01
1,64,3.1673e-01
1,65,1.9274e-01
1,66,6.8900e-02
1,67,-5.4720e-02
1,68,-1.7805e-01
1,69,-3.0100e-01
